tp,fp,fn,tn,precision,recall,f1,iou,stem,mean_token_prob,mean_pixel_prob,mean_within_token_variance,boundary_inconsistency,interior_inconsistency
1886,77596,4089,178573,0.023728642963186632,0.31564853556485356,0.044139157705044646,0.02256763709899367,01658,0.3164594769477844,0.3401300013065338,2.3628477427772295e-15,0.29235604405403137,0.0
5679,38565,2835,215065,0.12835638730675344,0.6670190274841438,0.21528488570453766,0.12062703116038999,01992,0.19588196277618408,0.21801498532295227,8.740718112009649e-16,0.20166976749897003,0.0
5279,135913,980,119972,0.03738880389823786,0.843425467327049,0.07160344792507341,0.03713108066285907,01770,0.42500975728034973,0.5128917694091797,3.804002886793571e-15,0.3658214509487152,0.0
10092,65098,32178,154776,0.13421997606064637,0.23875088715400994,0.17183722118167888,0.09399448625288727,00912,0.29251939058303833,0.2904481291770935,1.4924546280061655e-15,0.2770521640777588,0.0
19622,193117,1659,47746,0.09223508618541969,0.9220431370706264,0.16769506879753865,0.09152137613224004,02311,0.6354323625564575,0.7231564521789551,5.810179208895791e-15,0.13608740270137787,0.0
23061,62323,49652,127108,0.27008573034760613,0.3171509908819606,0.29173229093531183,0.17077668177374922,02545,0.40808171033859253,0.3986470699310303,2.5367328951395735e-15,0.35870638489723206,0.0
72500,41029,37562,111053,0.6386033524473923,0.6587196307535752,0.6485055301868142,0.4798432732591617,01031,0.3823358416557312,0.41293981671333313,2.7115401372001112e-15,0.2816260755062103,0.0
8229,20279,30276,203360,0.2886558159113231,0.21371250486949747,0.24559413845074834,0.13998707131192162,10345,0.18236391246318817,0.19418281316757202,1.5353373579355223e-15,0.22018957138061523,0.0
49070,81932,36541,94601,0.3745744339781072,0.573174008012989,0.4530660671335515,0.2928800367666808,08519,0.39832672476768494,0.4472809433937073,3.456392712234352e-15,0.36008673906326294,0.0
21398,63078,18503,159165,0.25330271319664754,0.5362772862835518,0.3440829092195502,0.2077899377542994,01577,0.24718314409255981,0.3685896098613739,1.5601492947635447e-15,0.1899687647819519,0.0
4949,76766,11613,168816,0.06056415590772808,0.2988165680473373,0.10071532505062224,0.05302803017315275,02239,0.4261905550956726,0.3732759356498718,4.179385583815732e-15,0.3671431839466095,0.0
22504,50253,34470,154917,0.3093035721648776,0.39498718713799275,0.34693326961173504,0.20987251345276842,01332,0.3364785313606262,0.3069050908088684,2.359296131548768e-15,0.3004131615161896,0.0
61173,65600,37706,97665,0.48253965749804767,0.6186652373102479,0.54218885717831,0.3719198195514321,01147,0.41274604201316833,0.4805371165275574,3.789213889175532e-15,0.2920769155025482,0.0
62612,7403,42125,150004,0.8942655145326002,0.59780211386616,0.716581212232192,0.5583377920456573,07656,0.2670818567276001,0.26111990213394165,5.129888604151934e-15,0.21238850057125092,0.0
12755,52465,16680,180244,0.19556884391291016,0.43332767113979953,0.26950504463578256,0.15573870573870574,11204,0.19465403258800507,0.22432664036750793,1.6208958078262795e-15,0.2888956367969513,0.0
5051,114849,4649,137595,0.04212677231025855,0.520721649484536,0.07794753086419753,0.040554319986511336,03182,0.40340742468833923,0.4420153498649597,2.0812943641544905e-15,0.27912458777427673,0.0
25953,15492,18727,201972,0.6262034020991676,0.580863921217547,0.6026821480406387,0.43131356777238583,02593,0.10552092641592026,0.15570594370365143,7.009522174468109e-16,0.12582583725452423,0.0
46060,90211,54725,71148,0.3380029500040361,0.4570124522498388,0.388600161987041,0.2411568828666569,00569,0.4183730185031891,0.5132387280464172,2.6223107766840276e-15,0.376035213470459,0.0
46117,88974,36263,90790,0.341377293824163,0.5598082058752124,0.42412091727172824,0.2691329061475075,05151,0.47227397561073303,0.5200057625770569,2.2257964042408258e-15,0.27984419465065,0.0
1093,41234,12229,207588,0.025822760885486806,0.08204473802732322,0.0392819277974447,0.020034460004399148,00802,0.1932481974363327,0.22887933254241943,1.2010026444834264e-15,0.2050672024488449,0.0
7350,113299,3347,138148,0.060920521512818175,0.6871085351032999,0.11191813987483441,0.05927610568082842,04324,0.4396686851978302,0.43066227436065674,2.9434546359756163e-15,0.25581344962120056,0.0
26899,29642,34562,171041,0.47574326594860367,0.4376596540895853,0.45590752699106796,0.2952592121005894,06019,0.2399386316537857,0.26411813497543335,1.5398767353378682e-15,0.25089767575263977,0.0
28688,122015,5043,106398,0.19036117396468552,0.8504936112181672,0.31109231486602257,0.18419734696236179,01956,0.5258821249008179,0.5950934886932373,5.688081097234316e-15,0.3210299015045166,0.0
15837,117125,20241,108941,0.1191092191754035,0.4389655745883918,0.18737576904874584,0.10337264936065221,00901,0.38865453004837036,0.42671236395835876,2.007387164563556e-15,0.30782562494277954,0.0
6118,24393,33746,197887,0.2005178460227459,0.15347180413405578,0.17386856127886324,0.09521141665499479,11086,0.16277386248111725,0.12923972308635712,7.916028885593557e-16,0.18863391876220703,0.0
21311,83834,7385,149614,0.20268201055685006,0.7426470588235294,0.3184524921361915,0.18938060961521372,06745,0.3876485526561737,0.40555399656295776,2.7383090053630676e-15,0.32139548659324646,0.0
3949,67397,12444,178354,0.055349984582177,0.24089550417861283,0.09001698218580108,0.0471297290846163,01883,0.2836037874221802,0.2844754159450531,1.945593479204246e-15,0.28148946166038513,0.0
29545,119216,10112,103271,0.19860716182332736,0.7450134906826034,0.31361122610366315,0.1859661490624587,03650,0.5105003118515015,0.5726537108421326,6.355985513039117e-15,0.27104824781417847,0.0
18722,71924,26284,145214,0.20653972596694836,0.4159889792472115,0.27602984106389883,0.1601128880526811,08132,0.32185789942741394,0.33571887016296387,2.2666462979636484e-15,0.32914817333221436,0.0
22206,91712,10328,137898,0.19492968626555943,0.6825474887809676,0.30325294294376315,0.17872607568855337,09548,0.4098007082939148,0.41752195358276367,2.9829717244142346e-15,0.3136584460735321,0.0
145750,72285,25754,18355,0.6684706583805352,0.8498344061946077,0.7483204505838954,0.5978530614588845,04629,0.6905285716056824,0.7456076741218567,8.209489315540556e-15,0.2272045910358429,0.0
57486,116678,16174,71806,0.3300682115707035,0.7804235677436873,0.46392601200852224,0.30202061595687674,08943,0.4914921224117279,0.5597814321517944,3.0581398765638095e-15,0.3170352578163147,0.0
40269,57674,55669,108532,0.4111472999601809,0.41973983197481707,0.4153991365837808,0.2621474884774627,01424,0.4268074035644531,0.45122405886650085,2.248927788181467e-15,0.26206713914871216,0.0
13072,80190,18753,150129,0.1401642684051382,0.41074626865671643,0.2090065314541079,0.11669865642994241,01447,0.3617817759513855,0.3933431804180145,2.8410100127141702e-15,0.19821758568286896,0.0
3437,33907,5912,218888,0.09203620394173094,0.36763290191464326,0.14721692759085944,0.07945718513038653,07715,0.23847037553787231,0.24777548015117645,1.0006021924708568e-15,0.20915499329566956,0.0
20416,112033,19264,110431,0.15414234913060876,0.5145161290322581,0.237217435760389,0.13456987865245562,04583,0.4935077130794525,0.48833346366882324,4.5242522712323014e-15,0.3192214369773865,0.0
47740,75873,35539,102992,0.38620533439039584,0.573253761452467,0.4614968195966978,0.2999648135116115,07628,0.4305415451526642,0.4719870984554291,2.5352750211245876e-15,0.304951012134552,0.0
30899,44832,48784,137629,0.4080099298834031,0.38777405469171594,0.39763470472415613,0.24815484078223507,02534,0.308688759803772,0.28331854939460754,1.9248214066736277e-15,0.23457281291484833,0.0
18922,79221,24295,139706,0.19280030160072548,0.43783696230649977,0.26771363893604977,0.1545435240693249,01905,0.3852619528770447,0.3815147876739502,2.3225314912239457e-15,0.2668413519859314,0.0
19745,97329,25489,119581,0.1686540137007363,0.4365079365079365,0.24330285629790277,0.13850017185384708,10589,0.49425041675567627,0.4488145411014557,3.0279745974545345e-15,0.2985750436782837,0.0
10156,23716,40814,187458,0.29983467170524325,0.19925446340984893,0.2394097263147969,0.13598264735023968,05490,0.19952617585659027,0.19054771959781647,1.2907456563890069e-15,0.22247262299060822,0.0
15507,130349,6515,109773,0.10631718955682316,0.7041594768867496,0.1847413002299289,0.10177133444028064,03476,0.5847795605659485,0.5361068248748779,5.207332798634155e-15,0.3438091278076172,0.0
4076,65129,29562,163377,0.0588974785058883,0.12117248350080266,0.07926645469307585,0.04126884485708789,01634,0.38915207982063293,0.3515508770942688,2.921136344177536e-15,0.24372349679470062,0.0
1879,50590,2233,207442,0.03581162210066897,0.4569552529182879,0.06641805553100866,0.03434974955211875,03162,0.2942477762699127,0.28648895025253296,1.7373259772771323e-15,0.23437443375587463,0.0
107250,65052,10423,79419,0.6224535989135356,0.9114240310011642,0.739718941288042,0.586947598850732,02623,0.6721938252449036,0.6325152516365051,5.4693803598680706e-15,0.2321295440196991,0.0
50254,85651,25951,100288,0.3697730032007652,0.6594580408109704,0.4738484748479562,0.3104858639778569,02376,0.4015558362007141,0.432039350271225,3.6094318888091155e-15,0.30202147364616394,0.0
0,10325,17734,234085,0.0,0.0,0.0,0.0,06694,0.10808012634515762,0.11150519549846649,3.7313617374014105e-16,0.13101625442504883,0.0
29344,98923,1223,132654,0.2287727942494952,0.9599895311937711,0.36949267789012435,0.22661209359796122,02106,0.4804624021053314,0.47990262508392334,4.7602134107632745e-15,0.29950180649757385,0.0
17391,39764,6494,198495,0.30427784095879623,0.7281138790035587,0.4291954590325765,0.2732328866125155,06686,0.26621314883232117,0.2661301791667938,1.1805381295878436e-15,0.2256917804479599,0.0
2306,29999,14564,215275,0.07138213898777279,0.13669235328986365,0.09378749364514488,0.0492009643901086,01446,0.22907452285289764,0.20453974604606628,1.3249553459983114e-15,0.2176414132118225,0.0
5457,37843,6069,212775,0.12602771362586604,0.47345132743362833,0.19906613650457813,0.11053495108266322,01011,0.22265270352363586,0.22032926976680756,1.5842326242014361e-15,0.23190195858478546,0.0
5252,77665,3250,175977,0.06334044888261756,0.617737003058104,0.11489952854439449,0.06095140831176669,08710,0.3513692021369934,0.3405253291130066,3.4328204391361133e-15,0.29020172357559204,0.0
52281,89455,33608,86800,0.36886182762318676,0.6087042578211412,0.4593607907742998,0.29816246920339445,03335,0.5395030379295349,0.5631759762763977,6.2578927033205655e-15,0.33418989181518555,0.0
2250,16434,35002,208458,0.12042389210019268,0.060399441640717276,0.08044908466819223,0.0419103676936259,05285,0.17730142176151276,0.18002934753894806,6.646333067684297e-16,0.19509141147136688,0.0
29954,77917,32327,121946,0.27768352940085844,0.4809492461585395,0.3520851944144059,0.21365497368008102,07931,0.45794063806533813,0.4119679033756256,3.1367385427906633e-15,0.33414512872695923,0.0
17433,101313,6583,136815,0.1468091556768228,0.7258910726182545,0.24422465361931042,0.1390978943420916,04950,0.3918797969818115,0.4557214379310608,3.0473916101604777e-15,0.2709382176399231,0.0
15677,59086,20237,167144,0.2096892848066557,0.43651500807484545,0.28329282506753883,0.16502105263157896,00536,0.2713756561279297,0.2655799388885498,2.648596818802904e-15,0.3097250163555145,0.0
53025,110358,32854,65907,0.32454416922201207,0.6174384890369008,0.4254559459524517,0.27020898199625965,04603,0.6085081696510315,0.589905321598053,7.310453086138504e-15,0.3783363103866577,0.0
34982,43312,52666,131184,0.4468030755868904,0.39911920408908363,0.42161719154885446,0.26711973121563837,02624,0.38869863748550415,0.3384452164173126,3.793042432815486e-15,0.2371276468038559,0.0
33190,101426,47579,79949,0.24655315861413205,0.41092498359519125,0.30819230679945214,0.18216745794341227,03647,0.5206834673881531,0.5502884984016418,8.160292433475795e-15,0.3855811357498169,0.0
42742,60008,24630,134764,0.41598053527980533,0.6344178590512379,0.5024864508999424,0.3355471816611713,08153,0.3741806149482727,0.41864123940467834,3.6501936830381585e-15,0.3386400043964386,0.0
2483,28906,5980,224775,0.07910414476408933,0.29339477726574503,0.12461106092542408,0.06644544943669886,03528,0.17181240022182465,0.16345447301864624,9.19038033527996e-16,0.17275571823120117,0.0
14540,93548,22883,131173,0.13452002072385463,0.38853111722737355,0.19984743421459547,0.11101694268196777,11826,0.421974241733551,0.4637093245983124,2.895867139834918e-15,0.35753437876701355,0.0
79128,94167,28842,60007,0.45660867307192937,0.732870241733815,0.5626579915737827,0.3914572789741611,02361,0.6578112840652466,0.6160691380500793,4.168251392192938e-15,0.3541642129421234,0.0
22242,70859,23772,145271,0.2389018377890678,0.48337462511409574,0.31976422384358266,0.19030913897991839,09139,0.43344226479530334,0.38211309909820557,3.3051016153715844e-15,0.3018619418144226,0.0
54931,121649,29480,56084,0.31108279533355987,0.650756418002393,0.4209417182967995,0.2665776958167524,06201,0.6138203144073486,0.6430047750473022,7.080729599637942e-15,0.2978722155094147,0.0
110977,66593,33511,51063,0.6249760657768767,0.7680707048336194,0.6891739997143371,0.5257555156551277,04160,0.5585097074508667,0.6042193174362183,3.8347327673357e-15,0.3016245663166046,0.0
544,74950,9686,176964,0.007205870665218428,0.053176930596285435,0.012691894918575895,0.006386475698520779,06590,0.28094053268432617,0.2638263702392578,3.4906808591546776e-15,0.27015262842178345,0.0
3193,32197,15027,211727,0.0902232269002543,0.1752469813391877,0.119119567244917,0.0633318126822302,03594,0.1919112205505371,0.15438313782215118,9.433906942113054e-16,0.24033218622207642,0.0
23055,82464,3315,153310,0.21849145651494042,0.8742889647326507,0.3496121738734845,0.2118363746623298,00840,0.3965998589992523,0.4021896421909332,2.0530552034937004e-15,0.31047168374061584,0.0
3000,63218,13425,182501,0.04530490199039536,0.182648401826484,0.07260143024817588,0.03766809386888992,09005,0.235811248421669,0.26407307386398315,1.955484335237034e-15,0.2571832835674286,0.0
57401,34168,96116,74459,0.6268606187683605,0.37390647289876694,0.4684151685530794,0.3058369075845166,08273,0.34149548411369324,0.41253504157066345,1.7461419089832366e-15,0.16356588900089264,0.0
6927,26875,9511,218831,0.2049287024436424,0.42140163036865796,0.2757563694267516,0.1599288897097869,00642,0.1459490954875946,0.13547296822071075,1.3741588843398272e-15,0.17483018338680267,0.0
81056,86154,27989,66945,0.4847556964296394,0.7433261497546885,0.586820148051619,0.41524802893457446,02732,0.5073021650314331,0.5923746228218079,6.801610675966868e-15,0.3809157907962799,0.0
28608,65776,69608,98152,0.3031022207153755,0.2912763704488067,0.29707165109034267,0.17444753402605004,04171,0.40452295541763306,0.38056811690330505,2.270555902385916e-15,0.3006170988082886,0.0
9684,136551,11600,104309,0.06622217663350087,0.4549896635970682,0.11561673601203444,0.06135521272214654,07160,0.5554110407829285,0.49111634492874146,2.9130409022470884e-15,0.31979721784591675,0.0
12934,110423,8578,130209,0.10485015037654936,0.6012458162885831,0.1785613209175186,0.09803312237086444,01683,0.4380101263523102,0.4680289328098297,2.8938252750629976e-15,0.3217866122722626,0.0
22285,100708,21956,117195,0.18118917336759002,0.5037182703826767,0.26651279046126986,0.15374373055350501,09353,0.4454532861709595,0.46049535274505615,3.627489356445827e-15,0.34627678990364075,0.0
7604,25669,29386,199485,0.22853364589907732,0.2055690727223574,0.21644393208374252,0.12135527218755486,05637,0.14873218536376953,0.1522766649723053,9.003143334894034e-16,0.1515616476535797,0.0
9399,19848,49987,182910,0.3213662939788696,0.15826962583773954,0.21208804846953166,0.1186233182724588,04251,0.15389235317707062,0.13729898631572723,6.194294961054247e-16,0.18882332742214203,0.0
7575,28083,14498,211988,0.21243479724045095,0.3431794500067956,0.26242400097001617,0.15102879017465506,00372,0.18116381764411926,0.19843968749046326,1.2343992342058064e-15,0.23008239269256592,0.0
6086,46943,26101,183014,0.11476739142733221,0.18908254885512785,0.1428370259106271,0.07691141160116265,05758,0.23395098745822906,0.22947841882705688,1.8772247068800974e-15,0.2664729356765747,0.0
7707,91295,13222,149920,0.07784691218359226,0.36824501887333366,0.12852390124321486,0.0686751497005988,01967,0.4298485219478607,0.42429664731025696,2.8668293144499626e-15,0.32931631803512573,0.0
11533,131179,8766,110666,0.08081310611581366,0.5681560668013202,0.14149965339762346,0.07613646866211594,08728,0.45024266839027405,0.48152342438697815,3.3927293768612624e-15,0.30388399958610535,0.0
28577,105316,36224,92027,0.21343162077181033,0.4409962809215907,0.28764834368425823,0.16798438721585732,07471,0.5377112030982971,0.5146323442459106,5.415736447915177e-15,0.2785613238811493,0.0
25643,59946,13482,163073,0.2996062578135041,0.6554121405750799,0.4112288917042192,0.2588345731848876,01709,0.4055822491645813,0.42575472593307495,3.795330638187116e-15,0.33696040511131287,0.0
12952,72130,14738,162324,0.1522296137843492,0.46775009028530157,0.22970240839924802,0.12975355640152275,05209,0.35715344548225403,0.3687772750854492,1.8440484412451557e-15,0.2716633081436157,0.0
9260,53688,17820,181376,0.1471055474359789,0.3419497784342688,0.20571377793575332,0.11464936608557845,03336,0.3564317226409912,0.2934925854206085,1.765885910509887e-15,0.21680867671966553,0.0
90474,79041,27763,64866,0.5337226794089018,0.7651919449918384,0.6288331618894046,0.458611705309259,01244,0.5113080143928528,0.597665548324585,5.739674176221521e-15,0.28462085127830505,0.0
53478,42685,33427,132554,0.556118257541882,0.6153616017490363,0.5842419210348068,0.4126707307662628,02287,0.3636246919631958,0.33581969141960144,2.898648445511537e-15,0.30312299728393555,0.0
8602,67112,7818,178612,0.11361174947829991,0.5238733252131547,0.18672802656999588,0.10297849925776947,07651,0.31451764702796936,0.3032040297985077,2.2631410513302855e-15,0.2985260486602783,0.0
48003,111533,27170,75438,0.3008913348711263,0.6385670386974046,0.40904268690165274,0.2571047529270618,06337,0.5820848941802979,0.5592303276062012,6.854034906826897e-15,0.3338770866394043,0.0
98074,99002,141,64927,0.4976455783555583,0.9985643740772795,0.6642532281715325,0.49728978739155344,02420,0.48610612750053406,0.6350818872451782,4.750752036596181e-15,0.20200712978839874,0.0
36553,60213,25374,140004,0.3777463158547424,0.5902594990876354,0.4606756441682998,0.29927132798428036,00430,0.32307878136634827,0.3838910758495331,3.1141308160552883e-15,0.36409294605255127,0.0
15042,142720,2367,102015,0.09534615433374323,0.864035843529209,0.17174075617539433,0.09393676348444067,08141,0.4541553258895874,0.5438991189002991,2.9462525693488628e-15,0.2347056120634079,0.0
8462,74172,3077,176433,0.10240336907326282,0.7333391108414941,0.1797118069935119,0.0987271178728518,01762,0.2543353736400604,0.3140081763267517,1.3411721040849222e-15,0.22398005425930023,0.0
75012,56856,53929,76347,0.5688415688415689,0.5817544458318146,0.5752255481981066,0.4037309536752477,01278,0.507477879524231,0.46653521060943604,4.5509558202923724e-15,0.257415235042572,0.0
